product_type,,,,,snapshot_date,available_credit,available_fum,transaction_id,,transaction_effective_date,transaction_amount,credit_debit_indicator,statement_description,high_level_transaction_purpose,mid_level_transaction_purpose,low_level_transaction_purpose,transaction_code,merchant_id,product_type_credit_card,snapshot_date_credit_card,statement_due_day,closing_balance,minimum_repayment_amount,previous_repayment_date,previous_repayment_amount
personal loan,,,,,10/18/2023,289794.96,915068.75,534,,12-08-2023,1530.89,credit,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,ante ipsum primis in faucibus orci luctus et ultrices posuere,eget nunc donec quis orci eget orci vehicula condimentum curabitur in,910,1217,credit card,04-06-2024,20,497730.29,4302.72,01-12-2024,1020.08
transaction,,,,,6/23/2023,17768.08,842576.44,535,,12/26/2023,3607.17,credit,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,696,6340,credit card,10-12-2023,30,410893.53,4842.74,05-05-2023,8910.46
savings,,,,,5/30/2023,689315.49,847515.39,536,,3/21/2024,1436.41,credit,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,324,7659,credit card,2/13/2024,1,921478.99,4210.79,9/19/2023,4124.03
savings,,,,,3/28/2024,238870.39,839416.28,537,,10/24/2023,1849.06,debit,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,758,5466,credit card,4/25/2024,22,513431.46,8108.97,9/14/2023,5070.79
credit card,,,,,10-11-2023,653668.13,688352.92,538,,11/16/2023,2530.38,credit,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,415,5145,credit card,3/28/2024,24,84915.44,6439.99,3/26/2024,5526.3
transaction,,,,,03-03-2024,63351.56,300547.56,539,,10-06-2023,3980.83,credit,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,diam in magna bibendum imperdiet nullam orci pede venenatis non,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,784,6982,credit card,9/16/2023,27,315779.3,2717.49,12-09-2023,294.14
savings,,,,,9/13/2023,647885.22,808722.08,540,,3/19/2024,2212.97,credit,sapien sapien non mi integer ac neque duis bibendum morbi,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,329,9894,credit card,5/22/2023,15,777826.96,5555.15,09-06-2023,5335.39
credit card,,,,,3/17/2024,527089.22,478399.32,541,,03-10-2024,2154.06,credit,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,644,5378,credit card,10-06-2023,11,509072.24,4471.44,06-05-2023,2829.43
transaction,,,,,5/30/2023,87436,556369.32,542,,08-06-2023,5006.79,debit,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,628,3944,credit card,12/30/2023,14,869194.5,7431.85,4/30/2023,8956.56
home loan,,,,,11-11-2023,245421.14,282460.04,543,,12-06-2023,2839.25,debit,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,929,4652,credit card,05-01-2023,2,991642.73,9588.9,1/25/2024,2136.64
credit card,,,,,10-06-2023,1911.45,430458.13,544,,11-09-2023,7015.47,debit,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,257,1734,credit card,02-06-2024,3,982388.55,8084.36,11-06-2023,5849.31
savings,,,,,5/16/2023,401264.64,450241.39,545,,10/28/2023,7806.36,debit,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,597,9118,credit card,06-09-2023,15,824789.14,9127.92,3/29/2024,7346.92
offset,,,,,8/29/2023,683535.08,808674.33,546,,7/13/2023,921.37,credit,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,838,5433,credit card,9/29/2023,21,602226.95,6329.59,03-03-2024,5018.1
credit card,,,,,11/13/2023,254830.89,40597.68,547,,4/30/2023,3423.6,credit,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,632,7924,credit card,4/22/2024,24,887872.39,8134.95,02-09-2024,5711.47
offset,,,,,5/19/2023,952316.34,51507.65,548,,1/26/2024,4577.85,debit,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,535,8488,credit card,9/30/2023,8,270754.45,8903.96,03-02-2024,4763.64
credit card,,,,,2/15/2024,319003.93,912931.25,549,,08-06-2023,7279.77,credit,sit amet eleifend pede libero quis orci nullam molestie nibh,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,238,6165,credit card,11/29/2023,28,62454.11,5209.28,02-04-2024,3691.29
home loan,,,,,06-08-2023,848135.36,400787.3,550,,09-09-2023,1516.97,debit,mi pede malesuada in imperdiet et commodo vulputate justo in,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,528,8808,credit card,2/18/2024,12,326542.64,3877.74,09-06-2023,4885.26
savings,,,,,5/27/2023,740433.66,591134.74,551,,9/22/2023,4018.41,credit,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,110,1211,credit card,4/20/2024,3,710964.16,6318.54,10/26/2023,5844.78
transaction,,,,,8/22/2023,798801,147175.31,552,,9/28/2023,9671.28,debit,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,890,3815,credit card,5/14/2023,30,966288.87,8114.43,2/17/2024,3312.69
personal loan,,,,,3/29/2024,773335.4,418497.24,553,,01-08-2024,2196.54,debit,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,821,1046,credit card,06-07-2023,15,399448.72,3612.27,10/17/2023,4501.69
credit card,,,,,9/27/2023,273745.56,891773.85,554,,3/30/2024,2330.43,debit,ante ipsum primis in faucibus orci luctus et ultrices posuere,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,447,9337,credit card,08-02-2023,30,54050.04,3112.21,12/29/2023,7927.7
savings,,,,,12/13/2023,927179.89,532285.95,555,,12/20/2023,2039.22,credit,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,311,3950,credit card,11/14/2023,26,885546.72,80.21,02-03-2024,971.66
offset,,,,,10-02-2023,595560.49,313845.88,556,,4/13/2024,3995.04,credit,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,625,8626,credit card,02-05-2024,19,593078.29,8155.54,11/26/2023,164.41
offset,,,,,12/25/2023,367471.36,152469.3,557,,09-12-2023,3720.01,debit,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,464,8716,credit card,01-10-2024,10,712726.68,1612.65,4/19/2024,1658.77
personal loan,,,,,03-09-2024,103364.29,305401.52,558,,10/17/2023,9702.89,debit,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,603,7146,credit card,5/16/2023,22,32642.45,764.78,1/19/2024,9093.36
home loan,,,,,11-04-2023,676800.23,658892.54,559,,06-01-2023,2276.14,credit,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,136,7191,credit card,11/23/2023,4,615667.57,4293.2,2/22/2024,8269.89
credit card,,,,,3/13/2024,810083.87,494450.18,560,,10/17/2023,8193.34,credit,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,duis mattis egestas metus aenean fermentum donec ut mauris eget,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,253,1614,credit card,07-07-2023,28,533921.2,3136.75,02-12-2024,9453.84
credit card,,,,,5/16/2023,146143.02,299570.99,561,,7/17/2023,2619.07,debit,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,985,8702,credit card,2/26/2024,1,247406.3,3523.17,11/30/2023,3863.52
home loan,,,,,11/24/2023,455812.14,714347.75,562,,10/22/2023,6240.22,credit,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,866,7373,credit card,11/28/2023,3,205809.66,4382.8,5/15/2023,5605.36
savings,,,,,02-11-2024,474124.94,581683.53,563,,10/29/2023,2522.52,credit,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,480,2878,credit card,06-08-2023,9,673766.21,952.82,10/18/2023,274.95
transaction,,,,,3/29/2024,949696.27,421627.72,564,,7/13/2023,2830.26,debit,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,368,5399,credit card,05-10-2023,15,737798.1,4488.1,7/17/2023,7251.09
transaction,,,,,2/13/2024,577758.37,752426.94,565,,1/19/2024,1842.42,debit,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,ante ipsum primis in faucibus orci luctus et ultrices posuere,925,4671,credit card,09-03-2023,20,10730.46,1179.49,3/27/2024,6787.02
offset,,,,,04-02-2024,987005.08,674917.99,566,,8/23/2023,1836.45,debit,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,132,7598,credit card,7/13/2023,19,57078.7,4768.04,2/17/2024,3918.68
personal loan,,,,,02-02-2024,336409.92,352688.04,567,,09-06-2023,1190.38,credit,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,320,6726,credit card,12/28/2023,12,372057.82,3046.36,04-04-2024,7384.61
savings,,,,,5/17/2023,782029.02,644063.88,568,,11-01-2023,1694.32,credit,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,153,1867,credit card,11-08-2023,21,114093.8,2122.17,5/16/2023,9411.54
home loan,,,,,11/21/2023,461064.12,974377.21,569,,3/14/2024,7236.22,credit,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,437,8640,credit card,12-04-2023,24,508118.43,447.56,10/29/2023,5587.97
offset,,,,,11-11-2023,786748.97,634354.4,570,,10/13/2023,3871.22,credit,orci pede venenatis non sodales sed tincidunt eu felis fusce,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,312,3240,credit card,5/19/2023,18,629264.56,8029.76,5/21/2023,7101.71
transaction,,,,,3/28/2024,336210.83,9035.4,571,,7/19/2023,8738.19,debit,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,orci eget orci vehicula condimentum curabitur in libero ut massa,sapien non mi integer ac neque duis bibendum morbi non,621,4737,credit card,6/24/2023,30,631382.88,601.9,5/17/2023,4919.56
credit card,,,,,05-07-2023,657491.19,807817.75,572,,2/29/2024,9062.57,debit,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,495,9949,credit card,8/23/2023,13,655413.57,4437.63,12/22/2023,6604.02
transaction,,,,,2/27/2024,59968.92,488744.8,573,,10/14/2023,2066.92,credit,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,642,3515,credit card,4/21/2024,1,85257.9,4024.07,08-07-2023,9290.43
personal loan,,,,,11-05-2023,743575.1,114541.36,574,,09-11-2023,9382.03,debit,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,948,2335,credit card,01-07-2024,14,293417.71,7648.08,12/29/2023,5746.53
personal loan,,,,,4/26/2024,195574.8,734339.48,575,,7/18/2023,5236.42,debit,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,in tempus sit amet sem fusce consequat nulla nisl nunc nisl,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,625,3682,credit card,1/17/2024,22,252241.03,7831.91,04-01-2024,8281.76
personal loan,,,,,1/16/2024,649575.74,201209.42,576,,06-07-2023,6602.33,debit,interdum mauris non ligula pellentesque ultrices phasellus id sapien in,in ante vestibulum ante ipsum primis in faucibus orci luctus,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,499,3990,credit card,2/13/2024,10,378976.09,5002.11,9/14/2023,5230.42
home loan,,,,,5/23/2023,102146.34,272920.39,577,,01-08-2024,9699.76,credit,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,607,4488,credit card,12-11-2023,27,983960.14,1672.46,10/22/2023,6851.79
personal loan,,,,,03-05-2024,85848.05,454767.83,578,,7/21/2023,1874,credit,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,793,8089,credit card,1/24/2024,21,421208.14,503.3,5/21/2023,8679.78
savings,,,,,9/30/2023,239467.09,678536.32,579,,10-04-2023,8549.83,credit,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,618,4384,credit card,1/29/2024,16,242762.79,1161.89,2/17/2024,1798.14
home loan,,,,,06-10-2023,562264.64,698585.77,580,,7/18/2023,2007.42,credit,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,668,3038,credit card,4/24/2024,18,355707.08,6618.89,07-09-2023,7175.14
transaction,,,,,4/27/2024,597598.19,852380.58,581,,4/23/2024,2008.36,debit,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,889,2368,credit card,8/19/2023,5,353589.81,7043.17,1/16/2024,6253.61
savings,,,,,8/25/2023,581873.19,711136.15,582,,5/24/2023,1552.61,debit,ullamcorper augue a suscipit nulla elit ac nulla sed vel,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,553,8256,credit card,07-03-2023,6,395548.06,8045.88,10/28/2023,1658.56
credit card,,,,,4/24/2024,153045.44,385035.12,583,,6/24/2023,3622.93,debit,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,497,8941,credit card,10-03-2023,3,294838.24,3098.49,03-10-2024,9496.54
offset,,,,,4/21/2024,88308.46,874466.78,584,,6/25/2023,3651.46,debit,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,311,8677,credit card,7/22/2023,4,64191.92,1782.73,09-05-2023,2877.5
offset,,,,,11/21/2023,257788.1,740949.87,585,,04-05-2024,9206.32,credit,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,190,6919,credit card,11/30/2023,3,493762.14,1590.49,4/23/2024,8901.81
home loan,,,,,3/24/2024,903383.21,734531.62,586,,12/24/2023,9585.21,debit,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,phasellus sit amet erat nulla tempus vivamus in felis eu,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,rutrum rutrum neque aenean auctor gravida sem praesent id massa id,967,9126,credit card,03-09-2024,12,822994.03,6348.79,9/28/2023,319.91
savings,,,,,3/18/2024,784666.2,602716.78,587,,03-04-2024,1786.78,credit,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,794,9200,credit card,12-12-2023,5,94696.73,8137.52,09-09-2023,9059.47
savings,,,,,8/28/2023,409983.89,413896.57,588,,3/21/2024,8180.12,debit,vivamus tortor duis mattis egestas metus aenean fermentum donec ut,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,300,9903,credit card,8/19/2023,5,308104.41,462.37,03-03-2024,6724.23
